[SYS] 2025/11/17 - 10:13:15 | 未找到 .env 文件，使用默认环境变量，如果需要，请创建 .env 文件并设置相关变量 
[SYS] 2025/11/17 - 11:43:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:43:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:43:15 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 11:43:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 11:43:15 | syncing options from database 
[SYS] 2025/11/17 - 11:43:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:43:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:43:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:43:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:43:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:43:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:44:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:44:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:44:15 | syncing options from database 
[SYS] 2025/11/17 - 11:44:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:44:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:44:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:44:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:44:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:44:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:45:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:45:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:45:15 | syncing options from database 
[SYS] 2025/11/17 - 11:45:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:45:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:45:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:45:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:45:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:45:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:46:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:46:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:46:15 | syncing options from database 
[SYS] 2025/11/17 - 11:46:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:46:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:46:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:46:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:46:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:46:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:47:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:47:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:47:15 | syncing options from database 
[SYS] 2025/11/17 - 11:47:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:47:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:47:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:47:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:47:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:47:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:48:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:48:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:48:15 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 11:48:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 11:48:15 | syncing options from database 
[SYS] 2025/11/17 - 11:48:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:48:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:48:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:48:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:48:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:48:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:49:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:49:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:49:15 | syncing options from database 
[SYS] 2025/11/17 - 11:49:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:49:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:49:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:49:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:49:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:49:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:50:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:50:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:50:15 | syncing options from database 
[SYS] 2025/11/17 - 11:50:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:50:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:50:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:50:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:50:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:50:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:51:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:51:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:51:15 | syncing options from database 
[SYS] 2025/11/17 - 11:51:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:51:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:51:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:51:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:51:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:51:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:52:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:52:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:52:15 | syncing options from database 
[SYS] 2025/11/17 - 11:52:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:52:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:52:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:52:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:52:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:52:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:53:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:53:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:53:15 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 11:53:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 11:53:15 | syncing options from database 
[SYS] 2025/11/17 - 11:53:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:53:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:53:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:53:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:53:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:53:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:54:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:54:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:54:15 | syncing options from database 
[SYS] 2025/11/17 - 11:54:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:54:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:54:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:54:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:54:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:54:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:55:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:55:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:55:15 | syncing options from database 
[SYS] 2025/11/17 - 11:55:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:55:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:55:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:55:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:55:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:55:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:56:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:56:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:56:15 | syncing options from database 
[SYS] 2025/11/17 - 11:56:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:56:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:56:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:56:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:56:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:56:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:57:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:57:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:57:15 | syncing options from database 
[SYS] 2025/11/17 - 11:57:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:57:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:57:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:57:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:57:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:57:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:58:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:58:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:58:15 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 11:58:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 11:58:15 | syncing options from database 
[SYS] 2025/11/17 - 11:58:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:58:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:58:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:58:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:58:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:58:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:59:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:59:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:59:15 | syncing options from database 
[SYS] 2025/11/17 - 11:59:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:59:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:59:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:59:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 11:59:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 11:59:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:00:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:00:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:00:16 | syncing options from database 
[SYS] 2025/11/17 - 12:00:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:00:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:00:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:00:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:00:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:00:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:01:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:01:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:01:16 | syncing options from database 
[SYS] 2025/11/17 - 12:01:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:01:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:01:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:01:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:01:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:01:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:02:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:02:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:02:16 | syncing options from database 
[SYS] 2025/11/17 - 12:02:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:02:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:02:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:02:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:02:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:02:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:03:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:03:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:03:15 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 12:03:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 12:03:16 | syncing options from database 
[SYS] 2025/11/17 - 12:03:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:03:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:03:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:03:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:03:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:03:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:04:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:04:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:04:16 | syncing options from database 
[SYS] 2025/11/17 - 12:04:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:04:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:04:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:04:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:04:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:04:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:05:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:05:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:05:16 | syncing options from database 
[SYS] 2025/11/17 - 12:05:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:05:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:05:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:05:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:05:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:05:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:06:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:06:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:06:16 | syncing options from database 
[SYS] 2025/11/17 - 12:06:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:06:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:06:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:06:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:06:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:06:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:07:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:07:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:07:16 | syncing options from database 
[SYS] 2025/11/17 - 12:07:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:07:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:07:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:07:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:07:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:07:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:08:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:08:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:08:15 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 12:08:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 12:08:16 | syncing options from database 
[SYS] 2025/11/17 - 12:08:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:08:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:08:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:08:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:08:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:08:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:09:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:09:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:09:16 | syncing options from database 
[SYS] 2025/11/17 - 12:09:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:09:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:09:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:09:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:09:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:09:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:10:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:10:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:10:16 | syncing options from database 
[SYS] 2025/11/17 - 12:10:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:10:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:10:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:10:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:10:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:10:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:11:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:11:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:11:16 | syncing options from database 
[SYS] 2025/11/17 - 12:11:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:11:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:11:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:11:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:11:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:11:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:12:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:12:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:12:16 | syncing options from database 
[SYS] 2025/11/17 - 12:12:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:12:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:12:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:12:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:12:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:12:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:13:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:13:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:13:15 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 12:13:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 12:13:16 | syncing options from database 
[SYS] 2025/11/17 - 12:13:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:13:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:13:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:13:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:13:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:13:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:14:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:14:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:14:16 | syncing options from database 
[SYS] 2025/11/17 - 12:14:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:14:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:14:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:14:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:14:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:14:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:15:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:15:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:15:16 | syncing options from database 
[SYS] 2025/11/17 - 12:15:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:15:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:15:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:15:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:15:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:15:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:16:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:16:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:16:16 | syncing options from database 
[SYS] 2025/11/17 - 12:16:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:16:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:16:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:16:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:16:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:16:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:17:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:17:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:17:16 | syncing options from database 
[SYS] 2025/11/17 - 12:17:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:17:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:17:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:17:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:17:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:17:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:18:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:18:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:18:15 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 12:18:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 12:18:16 | syncing options from database 
[SYS] 2025/11/17 - 12:18:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:18:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:18:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:18:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:18:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:18:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:19:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:19:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:19:16 | syncing options from database 
[SYS] 2025/11/17 - 12:19:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:19:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:19:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:19:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:19:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:19:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:20:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:20:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:20:16 | syncing options from database 
[SYS] 2025/11/17 - 12:20:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:20:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:20:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:20:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:20:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:20:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:21:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:21:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:21:16 | syncing options from database 
[SYS] 2025/11/17 - 12:21:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:21:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:21:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:21:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:21:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:21:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:22:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:22:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:22:16 | syncing options from database 
[SYS] 2025/11/17 - 12:22:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:22:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:22:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:22:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:22:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:22:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:23:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:23:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:23:15 | 正在更新数据看板数据... 
[SYS] 2025/11/17 - 12:23:15 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/11/17 - 12:23:16 | syncing options from database 
[SYS] 2025/11/17 - 12:23:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:23:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:23:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:23:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:23:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:23:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:24:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:24:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:24:16 | syncing options from database 
[SYS] 2025/11/17 - 12:24:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:24:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:24:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:24:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:24:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:24:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:25:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:25:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:25:16 | syncing options from database 
[SYS] 2025/11/17 - 12:25:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:25:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:25:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:25:31 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:25:46 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:25:46 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:26:01 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:26:01 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:26:16 | syncing options from database 
[SYS] 2025/11/17 - 12:26:16 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:26:16 | 任务进度轮询完成 
[SYS] 2025/11/17 - 12:26:31 | 任务进度轮询开始 
[SYS] 2025/11/17 - 12:26:31 | 任务进度轮询完成 
